                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78873,                 2.9714,                 1.0252,                0.96039,                0.75949,                0.84995,                0.74803,                0.45204,                 2.5273,                0.77651,                0.00014,                0.00014,                0.00014
                      2,                0.68598,                 1.3375,                0.96026,                0.87784,                0.88608,                0.94207,                0.80839,                0.59833,                  1.664,                0.81041,             0.00028515,             0.00028515,             0.00028515
                      3,                0.67942,                0.85136,                0.91099,                0.20172,                0.78481,                0.20541,                0.16896,                0.60192,                 10.342,                0.85628,             0.00041446,             0.00041446,             0.00041446
                      4,                0.66243,                0.68056,                0.92779,                 0.1213,                0.79747,                0.11715,                0.09593,                0.69563,                 7.1869,                0.87348,             0.00052793,             0.00052793,             0.00052793
                      5,                0.67463,                0.57575,                0.92772,                0.18817,                0.83544,                0.18686,                0.14899,                0.67333,                 5.8459,                0.87995,             0.00062556,             0.00062556,             0.00062556
                      6,                0.66468,                0.54595,                0.92903,                0.08999,                0.64557,                0.06768,                0.04281,                 1.1179,                 16.907,                  1.137,             0.00070735,             0.00070735,             0.00070735
                      7,                0.68709,                0.57329,                0.93939,                 0.7783,                0.73418,                0.76322,                0.59156,                0.78563,                0.90316,                0.95531,              0.0007733,              0.0007733,              0.0007733
                      8,                0.69923,                0.56042,                0.95331,                0.09962,                0.65823,                0.09214,                0.07173,                0.73724,                 8.1432,                0.93942,             0.00082341,             0.00082341,             0.00082341
                      9,                0.68183,                0.52197,                0.92889,                0.15452,                 0.8481,                0.14732,                0.11789,                0.71003,                 5.8109,                0.93913,             0.00085768,             0.00085768,             0.00085768
                     10,                0.69017,                0.54232,                 0.9574,                 0.6473,                0.87342,                 0.6471,                0.52232,                0.67641,                0.91267,                0.88932,             0.00087611,             0.00087611,             0.00087611
                     11,                0.62116,                0.47741,                0.89942,                0.48966,                0.78946,                0.46513,                0.38313,                0.64661,                 1.6077,                0.87186,              0.0008787,              0.0008787,              0.0008787
                     12,                0.59794,                 0.4945,                0.89119,                0.88691,                0.87342,                0.93391,                0.79303,                0.62845,                 0.6529,                0.86219,             0.00086545,             0.00086545,             0.00086545
                     13,                0.59839,                 0.4485,                0.88232,                0.82725,                0.82278,                0.88382,                0.72094,                0.65927,                0.74222,                0.87297,               0.000812,               0.000812,               0.000812
                     14,                0.60421,                0.49962,                0.89396,                0.80497,                0.87342,                0.87135,                0.70651,                0.65385,                0.82464,                 0.8757,               0.000812,               0.000812,               0.000812
                     15,                0.60546,                0.45013,                 0.9045,                0.79062,                0.82278,                0.87586,                0.73342,                0.61843,                0.68781,                0.86845,               0.000713,               0.000713,               0.000713
                     16,                0.61927,                0.45868,                0.90901,                0.50498,                0.60759,                0.42087,                0.34658,                0.76739,                 2.1144,                0.94707,               0.000614,               0.000614,               0.000614
                     17,                0.59126,                0.42731,                0.88288,                0.42429,                0.72152,                0.37459,                0.31049,                0.62591,                 1.6097,                0.86575,               0.000515,               0.000515,               0.000515
                     18,                0.53612,                0.39462,                0.86416,                0.45112,                0.88608,                0.44974,                0.37501,                0.55828,                 1.0035,                0.83619,               0.000416,               0.000416,               0.000416
                     19,                0.51403,                0.36554,                  0.863,                0.88733,                0.91139,                0.91405,                0.81061,                0.53001,                0.47403,                0.82872,               0.000317,               0.000317,               0.000317
                     20,                 0.5128,                0.36054,                 0.8481,                0.95491,                0.91139,                0.94878,                0.86195,                0.50448,                 0.4219,                0.81212,               0.000218,               0.000218,               0.000218
